,Name,Taste,Type,Function,Effect
288,白术,苦、甘、温,脾、胃,健脾、益气、燥湿、利水、安胎,健脾、益气、燥湿、利水、安胎
289,山药,甘、平,脾、肺、肾,、生津、补肾、,、生津、补肾、
290,扁豆,甘、淡、平,脾、胃,健脾、和中、化湿,健脾、和中、化湿
291,甘草,甘、平,心、肺、脾、胃,、益气、清热、解毒、祛痰、止咳、止痛、,、益气、清热、解毒、祛痰、止咳、止痛、
292,大枣,甘、温,脾、胃,、益气、养血、安神,、益气、养血、安神
293,刺五加,辛、微苦、温,脾、肾、心,益气、健脾、补肾、安神,益气、健脾、补肾、安神
294,灵芝草,甘、微苦、平,心、脾、肺,益气、健脾、安神、止咳、,益气、健脾、安神、止咳、
295,当归,甘、辛、温,肝、心、脾,、活血、止痛、润肠、通便,、活血、止痛、润肠、通便
296,熟地黄,甘、温,肝、肾,滋阴(尤其是肾阴)、益精、,滋阴(尤其是肾阴)、益精、
297,何首乌,苦甘涩、微温,肝、肾,解毒、消痈、润肠、通便,解毒、消痈、润肠、通便
298,白芍,苦、酸、微寒,肝、脾,养血、止痛、平肝,养血、止痛、平肝
299,阿胶,甘、平,肺、肝、肾,、滋阴、润燥、止血,、滋阴、润燥、止血
300,龙眼肉,甘、温,心、脾,、养血、安神,、养血、安神
301,乌骨鸡,甘、平,肝、肾,养血、,养血、
302,木耳,甘、平,肝、胃、大肠,益气、凉血、止血,益气、凉血、止血
303,北沙参,甘、微苦、微寒,肺、胃,养阴、清肺、益胃、生津,养阴、清肺、益胃、生津
304,南沙参,甘、微寒,肺、胃,养阴、清肺、化痰、止咳、益胃、生津,养阴、清肺、化痰、止咳、益胃、生津
305,麦门冬,甘、微苦、寒,肺、肾,滋阴、润肺、益胃、生津、清心、除烦,滋阴、润肺、益胃、生津、清心、除烦
306,天冬,甘、苦、寒,肺、肾,滋阴、润燥、清肺、,滋阴、润燥、清肺、
307,石斛,甘、微寒,胃、肺、肾,益胃、生津、滋阴、,益胃、生津、滋阴、
308,玉竹,甘、微寒,肺、胃,养阴、润肺、益胃、生津,养阴、润肺、益胃、生津
309,黄精,甘、平,脾、肺、肾,健脾、益气、滋阴、润肺,健脾、益气、滋阴、润肺
310,百合,甘、寒,心、肺,养阴、润肺、清心、安神,养阴、润肺、清心、安神
311,枸杞子,甘、平,肝、肾、肺,、益精、明目,、益精、明目
312,桑椹,甘、寒,肝、肾,补益肝肾、养血、祛风,补益肝肾、养血、祛风
313,墨旱莲,甘、酸、寒,肝、肾,、凉血、止血,、凉血、止血
314,女贞子,甘、苦、凉,肝、肾,补益肝肾、清热、明目,补益肝肾、清热、明目
315,龟甲,咸、甘、微寒,肝、肾、心,滋阴、潜阳、养血、,滋阴、潜阳、养血、
316,鳖甲,咸、微寒,肝,滋阴、潜阳、软坚、散结,滋阴、潜阳、软坚、散结
317,明党参,甘、微苦、微寒,肺、胃,清肺、化痰、和胃、止呕、平肝、解毒,清肺、化痰、和胃、止呕、平肝、解毒
318,楮实,甘、寒,肝、肾,、明目、利水,、明目、利水
319,蛤什蟆油,甘、咸、平,肺、肾,补肾、益精、润肺、养阴,补肾、益精、润肺、养阴
320,鹿茸,甘、咸、温,肝、肾,、,、
321,鹿角胶,甘、咸、温,肾、肝,、益精、养血、止血,、益精、养血、止血
322,巴戟天,辛、甘、微温,肾、肝,、强筋骨、祛风湿,、强筋骨、祛风湿
323,肉苁蓉,甘、咸、温,肾、大肠,、润肠、通便,、润肠、通便
324,仙茅,辛、热,有毒,、强筋骨、,、强筋骨、
325,淫羊藿,辛、甘、温,肝、肾,补肾、助阳、祛风、除湿,补肾、助阳、祛风、除湿
326,胡芦巴,苦、温,肾、肝,阳、,阳、
